# #1 Wavelength (nm) #2 Transmittance ()
2.801999999999999886e+02 0.000000000000000000e+00
2.805400000000000205e+02 0.000000000000000000e+00
2.808799999999999955e+02 0.000000000000000000e+00
2.812300000000000182e+02 0.000000000000000000e+00
2.815699999999999932e+02 0.000000000000000000e+00
2.819100000000000250e+02 0.000000000000000000e+00
2.822599999999999909e+02 0.000000000000000000e+00
2.826000000000000227e+02 0.000000000000000000e+00
2.829399999999999977e+02 0.000000000000000000e+00
2.832799999999999727e+02 4.977437731399999730e-04
2.836299999999999955e+02 1.130596780630000082e-03
2.839700000000000273e+02 1.774009189760000034e-03
2.843100000000000023e+02 2.559270990440000188e-03
2.846600000000000250e+02 3.620065305710000285e-03
2.850000000000000000e+02 5.072710927400000784e-03
2.853399999999999750e+02 6.999318239809999148e-03
2.856899999999999977e+02 9.435708550490000054e-03
2.860299999999999727e+02 1.236718752070000045e-02
2.863700000000000045e+02 1.573490076419999800e-02
2.867099999999999795e+02 1.945263384830000011e-02
2.870600000000000023e+02 2.342863144409999820e-02
2.873999999999999773e+02 2.758323277580000329e-02
2.877400000000000091e+02 3.185644252819999633e-02
2.880899999999999750e+02 3.620689753170000524e-02
2.884300000000000068e+02 4.060699082490000500e-02
2.887699999999999818e+02 4.503842838789999525e-02
2.891100000000000136e+02 4.949172114029999625e-02
2.894599999999999795e+02 5.396962757129999955e-02
2.898000000000000114e+02 5.848975645380000143e-02
2.901399999999999864e+02 6.308282860170000284e-02
2.904900000000000091e+02 6.778825329950000089e-02
2.908299999999999841e+02 7.264878239180000419e-02
2.911700000000000159e+02 7.770380082660000021e-02
2.915099999999999909e+02 8.298340221049999021e-02
2.918600000000000136e+02 8.850779994130000827e-02
2.921999999999999886e+02 9.429313483530001039e-02
2.925400000000000205e+02 1.003607414490000072e-01
2.928799999999999955e+02 1.067468659700000072e-01
2.932300000000000182e+02 1.135102907269999878e-01
2.935699999999999932e+02 1.207347606460000000e-01
2.939100000000000250e+02 1.285243078609999978e-01
2.942599999999999909e+02 1.369920267630000132e-01
2.946000000000000227e+02 1.462443467919999907e-01
2.949399999999999977e+02 1.563642604250000123e-01
2.952799999999999727e+02 1.673976982300000027e-01
2.956299999999999955e+02 1.793455940859999820e-01
2.959700000000000273e+02 1.921623042939999970e-01
2.963100000000000023e+02 2.057603581570000006e-01
2.966499999999999773e+02 2.200203799399999827e-01
2.970000000000000000e+02 2.348041391219999885e-01
2.973399999999999750e+02 2.499695137819999968e-01
2.976800000000000068e+02 2.653860789399999920e-01
2.980199999999999818e+02 2.809473834969999917e-01
2.983700000000000045e+02 2.965750439110000358e-01
2.987099999999999795e+02 3.122134932930000217e-01
2.990500000000000114e+02 3.278187424149999751e-01
2.993899999999999864e+02 3.433462061720000125e-01
2.997400000000000091e+02 3.587419363989999832e-01
3.000799999999999841e+02 3.739393627879999960e-01
3.004200000000000159e+02 3.888610356649999655e-01
3.007699999999999818e+02 4.034238343770000235e-01
3.011100000000000136e+02 4.175463925959999600e-01
3.014499999999999886e+02 4.311569697619999642e-01
3.017900000000000205e+02 4.441994976509999749e-01
3.021399999999999864e+02 4.566373933250000294e-01
3.024800000000000182e+02 4.684566788659999537e-01
3.028199999999999932e+02 4.796688102200000192e-01
3.031600000000000250e+02 4.903114058799999952e-01
3.035000000000000000e+02 5.004449212549999526e-01
3.038500000000000227e+02 5.101456669130000066e-01
3.041899999999999977e+02 5.194980921669999363e-01
3.045299999999999727e+02 5.285885140439999796e-01
3.048700000000000045e+02 5.374999271470000117e-01
3.052200000000000273e+02 5.463073216499999551e-01
3.055600000000000023e+02 5.550736612750000187e-01
3.058999999999999773e+02 5.638460744030000527e-01
3.062400000000000091e+02 5.726520282349999436e-01
3.065899999999999750e+02 5.814965702119999635e-01
3.069300000000000068e+02 5.903619094099999964e-01
3.072699999999999818e+02 5.992103157489999665e-01
3.076100000000000136e+02 6.079909230290000410e-01
3.079599999999999795e+02 6.166485002710000440e-01
3.083000000000000114e+02 6.251294618059999308e-01
3.086399999999999864e+02 6.333820102780000072e-01
3.089800000000000182e+02 6.413524230870000231e-01
3.093299999999999841e+02 6.489823379000000392e-01
3.096700000000000159e+02 6.562099011019999484e-01
3.100099999999999909e+02 6.629739729439999563e-01
3.103500000000000227e+02 6.692188081339999206e-01
3.106899999999999977e+02 6.748969454159999826e-01
3.110400000000000205e+02 6.799698045549998904e-01
3.113799999999999955e+02 6.844078149840000513e-01
3.117200000000000273e+02 6.881921584190000551e-01
3.120600000000000023e+02 6.913175639879999279e-01
3.124100000000000250e+02 6.937932988459999395e-01
3.127500000000000000e+02 6.956406064050000282e-01
3.130899999999999750e+02 6.968881250959999551e-01
3.134300000000000068e+02 6.975685050890000349e-01
3.137699999999999818e+02 6.977181951319999520e-01
3.141200000000000045e+02 6.973797603179999749e-01
3.144599999999999795e+02 6.966039397190000315e-01
3.148000000000000114e+02 6.954494171939999969e-01
3.151399999999999864e+02 6.939822180509999106e-01
3.154800000000000182e+02 6.922786125769999632e-01
3.158299999999999841e+02 6.904322915669999228e-01
3.161700000000000159e+02 6.885623722249999412e-01
3.165099999999999909e+02 6.868175810729999498e-01
3.168500000000000227e+02 6.853732465829999176e-01
3.171999999999999886e+02 6.844197289519999838e-01
3.175400000000000205e+02 6.841428017239999937e-01
3.178799999999999955e+02 6.846984457799999424e-01
3.182200000000000273e+02 6.861887383590000722e-01
3.185600000000000023e+02 6.886498479639999726e-01
3.189100000000000250e+02 6.920578150990001065e-01
3.192500000000000000e+02 6.963445595500000751e-01
